"ID","Exporter","E-mail Address","Postal Address","Physical Address","Location","Registration Date","Renewal Date"
"FTA1","FTA FOOD SOLUTIONS NZ LIMITED","fta@ftafoodsolutions.co.nz"," ","FTA Food Solutions Pty Limited, Suite 59, Level 2, 255 Drummond Street","Carlton 3053","20/11/2020","19/05/2022"
"FUHRMAN1","Fuhrmann NZ (1983) Limited","gschneider@gschneider.co.nz","PO Box 1164 Christchurch 8140","Unit 8 75 Peterborough Street","Christchurch 8013","27/01/2021","27/01/2022"
"FUNNELL01","Funnell Farms Limited","chrissy@funnell.nz","4 Waipahihi Avenue Taupo 3330","2 Caroline Drive, Maunganamu","Taupo","12/06/2018","2/07/2021"
"SABELNZ1","Fur Dressers & Dyers Westland Limited","sales@possum-nz.com","PO Box 43 Hokitika 7842","20 Weld Street","Hokitika","5/08/2016","22/07/2022"
"FUSION452","Fusion General Trading Limited","fusiongeneralnz@gmail.com"," ","452 Mount Albert Road, Mount Roskill","Auckland","25/10/2019","25/10/2021"
"FCT01","Future Cuisine Limited Trading as Future Cuisine Trading","info@futurecuisine.co.nz"," ","36C Greenmount Drive, East Tamaki","Auckland","11/09/2012","11/09/2021"
"22CCNNCC","FX Trading (NZ) Limited","jhua140@aucklanduni.ac.nz"," ","5 Judge Street, Parnell","Auckland 1052","14/05/2021","14/05/2022"
"GSF2","G & S Foods Limited","info@honeyworld.co.nz"," ","15 Greig Lane","Canvastown 7178","24/01/2018","18/10/2021"
"BOWRON1","G L Bowron & Co Limited","james.mclorinan@bowron.co.nz","PO Box 19-544 Christchurch 8241","2-12 Long Street, Woolston","Christchurch","3/11/1999","1/05/2022"
"GMNZ1","G Modiano (N.Z.) Limited","h.gray@modiano.co.nz","PO Box 36770 Christchurch 8146","9b Scotston Avenue, Merivale","Christchurch","27/07/2017","27/07/2022"
"GSA1","G. Schneider New Zealand Limited NZ agent for G. Schneider Australia Pty Limited Unit","helen.cameron@gschneider.com","P O Box 36010 Christchurch 8146","Unit 8, 75 Peterborough Street","Christchurch","21/09/2020","21/09/2021"
"FUHRCO1","G. Schneider New Zealand Limited","gschneider@gschneider.co.nz","PO Box 1164 CHRISTCHURCH 8140","Unit 8, 75 Peterborough Street","Christchurch","6/07/2015","2/05/2022"
"GMAX01","G.MAX New Zealand Limited","gmaxnz2003@gmail.com","PO Box 87350, Meadowbank, Auckland 1742","62A Portland Road, Remuera","Auckland 1050","9/06/2021","9/06/2022"
"1015","Garra International Limited","accounts@garra.co.nz","P O Box 2022 CHRISTCHURCH 8140","Level 1 / 47 Mandeville Street, Riccarton","Christchurch","1/11/1999","1/05/2022"
"ELN1034","Garrett International Meats Limited","lmeats@xtra.co.nz","PO Box 8748 Symonds Street Auckland 1150","4/163 Victoria Avenue, Remuera 1050","Auckland","8/10/2015","8/10/2021"
"GKD57","Garry Kenneth Davis","gkd@kinect.co.nz"," ","106 Lansdowne Road RD1 Richmond","Nelson 7081","31/08/2015","31/08/2021"
"GS34","Garston Stables Limited trading as The Hunny Shop","legendsdownunder@yahoo.com","PO Box 34 Garston 9750","5 Garston Athol Highway, Garston","Athol 9793","27/07/2019","27/07/2022"
"GAUS01","GAUS NZ Import Export Limited","jagjit78622@yahoo.com","21 Seddon Ave Papatoetoe Manukau 2104 Auckland","21 Seddon Ave, Papatoetoe, Manukau","Auckland","22/06/2020","22/06/2021"
"GAVINEX01","Gavins Apiaries Limited","honeybeegood@xtra.co.nz","P.D.C. Private Bag Titoki Whangarei 0172","1615 Mangakahia Road, Titoki","Whangarei","2/12/2020","2/12/2021"
"GELITA1","Gelita NZ Limited","tony.wise@gelita.com","P O Box 19 542 Woolston CHRISTCHURCH 8241","30 Barton Street, Woolston","Christchurch 8023","9/06/2003","10/06/2022"
"GEN772","Gene-Tec New Zealand Limited","mark@gene-tecnz.nz","206 Station Road RD25 Temuka 7985","206 Station Road","Temuka","15/07/2019","15/07/2021"
"40353356E","General Distributors Limited","tim.james@woolworthsnz.co.nz"," ","80 Favona Road, Mangere","Auckland","1/05/2020","1/02/2022"
"ELN1116","Genesis Biolaboratory Limited","steve@genesisbiolab.co.nz","PO Box 17 548 Christchurch 8840","4 Michelle Road, Wigram","Christchurch","29/05/2000","31/07/2021"
"GDEX09","Genetic Development (NZ) Exports Limited Partnership","Matt_Singh@geneticdevelopment.co.nz","PO Box 98 Matangi 3260","105 Bellevue Road, RD4, Matangi","Hamilton 3284","27/11/2020","27/11/2021"
"GDNZ8","Genetic Development (NZ) Limited","office@geneticdevelopment.co.nz","PO Box 98 Matangi 3260","105 Bellvue Road, RD 4, Matangi","Hamilton 3284","18/06/2018","18/06/2021"
"GGAINS1","Genetic Gains Limited","julia@genetic-gains.co.nz"," ","31 Pounamu Avenue","Wanaka 9305","28/01/2000","29/05/2022"
"HHONEY1","Georgia Turner","Georgiamayturner@outlook.com"," ","6 Kahurangi Place, Manurewa","Auckland 2102","9/03/2021","9/03/2022"
"G3TSTUFF3D","Get Stuffed Limited","enquiries@orourketaxidermists.co.nz","85 Main Rd Pleasant Point 7903","85 Main Road","Pleasant Point 7903","8/03/2017","8/03/2021"
"GEVIR01","Gevir Limited","info@gevir.co.nz","PO Box 100 Hastings 4156","8/21 Napier Road,","Havelock North 4130","15/05/2019","15/05/2021"
"GIGO49601","Gigo Group Corporation Limited","tim.hoang@gigogroup.biz","642 Great South Road Ellerslie Auckland 1051","642 Great South Road, Ellerslie","Auckland 1051","10/06/2019","10/06/2022"
"TT1234567","Ginelli and Sons Limited trading as Ginellis","anita@ginellis.co.nz","PO Box 18244 Glen Innes Auckland 1743","14 Thomas Peacock Place, St Johns","Auckland","12/01/2015","25/01/2022"
"146","Gisborne Fisheries Limited","info@gisfish.co.nz","P O Box 1228 GISBORNE 4040","131 Peel Street","Gisborne","26/04/2000","3/05/2022"
"19192635A","Glanbia Performance Nutrition (New Zealand) Limited","sarnold@glanbia.com"," ","C/- Martelli Mckegg, Level 20, Pwc Tower, 188 Quay Street","Auckland 1010","23/03/2016","23/03/2022"
"ZENMONY01","Glasier Enterprise Limited","shaun.glasier@protonmail.com","27 Downing Avenue Pirimai Napier 4112","27 Downing Avenue, Pirimai","Napier 4112","6/10/2020","6/10/2021"
"GLENDENE1","Glen Dene Limited","burdonrg@xtra.co.nz","Glen Dene Private Bag 9001 Wanaka 9343","1576 Lake Hawea, Highway 6"," ","21/01/2016","21/01/2022"
"GLENDHU98","Glendhu Capital Limited","lou.aucklandcentral@gmail.com","98 Glendhu Road Bayview Auckland 0629","98 Glendhu Road, Bayview","Auckland 0629","18/10/2019","18/10/2021"
"HUNTER7","Glenroy Station Limited","jhunter@glenroy.co.nz","PO Box 413 QUEENSTOWN 9348","Rapid No. 1786, Gibbston Highway","Queenstown","1/11/1999","19/06/2022"
"233","Glenstar Kennels Limited","starpettravel@gmail.com","223 Jeffs Drain Road RD2 Kaiapoi 7692","223 Jeffs Drain Road, RD2, Ohoka","Christchurch","12/12/2018","19/10/2021"
"GDL2","Global Dairy Limited","simon@globaldairy.co.nz","54D Monteith Crescent Remuera Auckland 1050","54D Monteith Crescent, Remuera","Auckland 1050","29/10/2019","29/10/2024"
"GDNL11","Global Dairy Network Limited","info@globaldairynet.com","PO Box 37767 Parnell Auckland 1151","Level 2, Suite 3, 112 Parnell Road","Auckland","17/02/2016","18/03/2022"
"GFL16","Global Food Limited","info@globalfood.nz","ANZ Tower Level 33 23-29 Albert Street Auckland Central Auckland 1010","ANZ Tower Level 33, 23-29 Albert Street, Auckland CBD","Auckland 1010","22/06/2017","22/06/2022"
"GFCL88","Global Foods Corporation Limited","maribel@bonaccord.co.nz","Level 4 3 Ferncroft Street Grafton Auckland 1010","Level 4, 3 Ferncroft Street, Grafton","Auckland","27/10/2017","7/08/2021"
"GGIL1","Global Group Initiative Limited Trading As NZ Global Food Products","sam.nzglobalfoodproducts@gmail.com","128 Universal Drive Henderson Auckland 0610","128 Universal Drive, Henderson","Auckland 0610","19/05/2020","19/05/2021"
"GLOHER8","Global Heritage Limited","info@heritagehoney.nz","7 Lochiel Road Khandallah Wellington","7 Lochiel Road, Khandallah","Wellington","4/09/2017","4/09/2021"
"HYCLONE1","Global Life Sciences Solutions New Zealand","gavin.hoggard@cytiva.com","PO Box 658 Tauranga 3144","433 Old Highway, RD8","Tauranga 3180","1/11/2019","1/11/2021"
"GLT01","Global Link Trading Limited","account@ftdlogistics.co.nz","PO Box 53029 Auckland Airport Auckland 2150","25 Rennie Drive","Auckland 2022","30/03/2015","30/03/2022"
"GLOBAL1","Global One Limited","global@gwbox.com","4/325 Ti Rakau Drive Burswood Auckland 2013","345 East Tamaki Road, East Tamaki","Auckland","20/04/2017","3/10/2021"
"GPNZ2008","Global Pacific New Zealand Limited","globalpacificnz@gmail.com"," ","49 Bishop Street","Christchurch 8014","19/02/2021","19/02/2022"
"GLOBLPROF1","Global Proficiency Limited","lana.pears@global-proficiency.com","PO Box 20-474 Hamilton 3241","10 Bisley Road, Ruakura Research Centre, Hamilton East","Hamilton 3214","26/04/2016","3/03/2022"
"GPL1","Global Protein Logistics Limited","roydon@logisticsgroup.co.nz","PO Box 25007 High Street Christchurch 8141","181 High Street","Christchurch","9/10/2019","9/10/2021"
"GTNZBK18","Global Treasure New Zealand Limited","Peter.Hughes-Hallett@bioxyne.com","PO Box 1183 Cambridge Post Office Cambridge 3450","The GTNZ Building, 22 Milicich Place","Cambridge 3434","10/05/2016","2/08/2021"
"GLOBIWI1","Globiwi Limited","jljohn101@gmail.com","43 Honan Place Avondale Auckland 1026","43 Honan Place, Avondale","Auckland","19/08/2020","19/08/2021"
"GFC001","Gluten Free Holdings Limited","mikegoodwin@pavillionfoods.co.nz","21D Aldwins Road Phillipstown Christchurch 8062","21D Aldwins Road","Christchurch 8062","3/02/2021","3/02/2022"
"GMNATURAL1","GM Natural New Zealand Limited","lma@finelogy.com","B311/176 Broadway Newmarket, Auckland, 1023","B311/176 Broadway Newmarket","Auckland","22/05/2020","22/05/2021"
"NZMPL888","GMP Dairy Limited","billy@gmpdairy.com","PO Box 230034 Botany Auckland 2163","5-7 Averton Place, East Tamaki","Auckland","25/03/2014","31/03/2022"
"GMPPHARM1","GMP Pharmaceuticals Limited","peter@gmp.net.nz"," ","12 Averton Place, East Tamaki","Auckland","12/12/2014","3/11/2021"
"GODONZ1","Go Do New Zealand Limited","geoffolsen@godonz.co.nz","PO Box 31-216 CHRISTCHURCH 8444","160 Idris Road, Strowan","Christchurch 8052","2/08/2011","8/08/2021"
"GO4GOOD1","Go Good Limited","andrew@gogood.co.nz"," ","1/180 Coronation Road, Hillcrest","Auckland","17/07/2020","17/07/2022"
"GOHEALTHY1","Go Healthy New Zealand Limited","andrew.wilson@gohealthy.co.nz","PO Box 33-125 Petone Lower Hutt 5046","94 Nelson Street, Petone, Lower Hutt","Wellington 5012","19/10/2015","19/10/2021"
"GOSNZ1","Go Shopping NZ Limited","zshudian@gmail.com","9c Becroft Drive Forrest Hill Auckland 0620","9c Becroft Drive, Forrest Hill","Auckland","4/06/2020","4/06/2021"
"GOLDBAYH1","Golden Bay Fruit 2008 Limited","kylie.pratt@goldenbayfruit.com"," ","77 Queen Victoria Street","Motueka 7120","16/03/2021","16/03/2022"
"GGF1","Golden Goose Foods Limited","jo@goldengoose.co.nz","P O Box 19981 Woolston Christchurch 8241 New Zealand","33 Connal Street, Woolston","Christchurch 8023","16/10/2019","16/10/2021"
"GGA206BEES","Golden Grove Apiaries Limited","goldengrovebees@xtra.co.nz","206 Foster Road Taneatua Whakatane 3191","206 Foster Road Taneatua","Whakatane 3191","22/01/2021","22/01/2022"
"GOLD001","Golden Health Solutions NZ Limited","2283551200@qq.com","58278 Botany Center, Botany, Auckland 2163, New Zealand","6C/15 Gooch Place, Sommerville","Auckland 2012","24/09/2020","24/09/2021"
"HJCU1234","Golden Pony Enterprises Limited","361800228@qq.com","30 Westminster Street New Windsor Auckland 0600","30 Westminster Street, New Windsor","Auckland 0600","28/08/2018","28/08/2021"
"GCNZEXP588","Good Chow NZ Limited","jenny@goodchownz.com","133 Kent Terrace Taradale Napier 4112","51 Thorn Place, Onekawa","Napier 4110","6/05/2020","27/01/2022"
"GOODFARMS1","Good Farms Investment Limited","yu.chen@goodfarm.co.nz"," ","70 Puriri Road Whenuapai","Auckland 0618","25/03/2021","25/03/2022"
"GHP2004","Good Health Products Limited","nisha.s@goodhealth.co.nz","PO Box 65-180 Mairangi Bay 0754","265 Albany Highway, Rosedale","Auckland 0632","16/05/2005","30/04/2022"
"GFNZ2","Goodman Fielder Asia Pacific, a division of Goodman Fielder New Zealand Limited","hamish.conway@goodmanfielder.co.nz","PO Box 90450 Victoria Street West Auckland 1142","2/8 Nelson Street","Auckland 1010","6/07/2015","4/05/2021"
"GFPIES01","Goodman Fielder New Zealand Limited trading as Ernest Adams","lynton.edgecombe@goodmanfielder.co.nz","PO Box 1346 Palmerston North 4412","142 Botanical Road","Palmerston North","6/05/2020","6/05/2022"
"GMF20","Goodman Fielder New Zealand Limited","shaun.merson@goodmanfielder.co.nz"," ","3 Ayr Street","Oamaru 9400","14/05/2020","14/05/2021"
"HIWELL22","Goodstore NZ Limited","healthnzgs7@gmail.com","6 Te Kea Place Rosedale","Auckland 0632","15/10/2012","20/08/2021"
"GOURMETE13","Gourmet Enterprise Limited","gourmetenterprise@gmail.com"," ","42 Rex Street, Miramar","Wellington 6022","7/08/2013","7/08/2021"
"L2812","Gowanleagold Limited","gowanleagold@farmside.co.nz","Gowanlea 981 Whitecliffs Road R D, Coalgate CANTERBURY 7673","Gowanlea, 981 Whitecliffs Road, R D","Coalgate 7673","31/10/2017","31/10/2021"
"GR8ONE","GR 8 Marketing Limited","craig.elphick@xtra.co.nz","13551 Level 3, 128 Johnsonville Road Johnsonville 6440","Level 3, 128 Johnsonville Road, Johnsonville","Wellington","30/06/2008","3/05/2022"
"KAIXIONG2","Grab Me Limited","danielxk@hotmail.com","125 High Street Lower Hutt 5010","125 High Street","Lower Hutt","18/04/2019","18/04/2022"
"G1H","Grade One Honey Limited","admin@gradeonehoney.co.nz","4A St Johns Ave Highfield Timaru 7910","4a St Johns Avenue, Highfield","Timaru 7910","14/07/2017","14/07/2022"
"GSNZ1","GrainCorp Commodity Management (NZ) Limited","lwright@graincorp.com.au","PO Box 259334 Botany Auckland 2163","92-98 Harris Road, East Tamaki","Auckland","10/11/1999","1/05/2022"
"MLFNZ1","GrainCorp Foods NZ Limited","johnson.chen@graincorp.co.nz","PO Box 259334 Botany Auckland 2163","92-98 Harris Road, East Tamaki","Auckland","7/10/2015","21/05/2022"
"GRANDPURE1","Grand & Pure Trading Limited","ybq983@163.com","8 Sanctuary Point Sunnyhills Auckland 2010","8 Sanctuary Point, Sunnyhills","Auckland 2010","10/05/2016","10/05/2022"
"GRAZIER1","Graziers Limited","trade@graziers.co.nz"," ","4 Gull Lane","Auckland 0630","17/03/2021","17/03/2022"
"GBI01","Great Barrier Island Honey Co Limited","hayden@gbihoney.co.nz","673 New North Road Morningside Auckland 1310","673 New North Road, Morningside","Auckland","15/07/2019","15/07/2021"
"GREENARK8","Green Ark New Zealand Limited","greenarknz@gmail.com"," ","21 Franshell Crescent","Auckland 2013","9/02/2021","9/02/2022"
"GREENBAY1","Green Bay Harvest (NZ) Limited","john.glass@greenbayharvest.co.nz"," ","24 Woodhurst Drive","Christchurch 8051","6/03/2020","18/04/2021"
"GCROSS1","Green Cross Health Distribution Limited","Cecilia.Miao@greencrosshealth.co.nz"," ","179E Harris Road, East Tamaki","Auckland","4/02/2021","4/02/2022"
"GREENFARM3","Green Farm NZ Limited","naweda10@gmail.com","1/240 Forrest Hill Road North Shore 0620","1/240 Forrest Hill Road North Shore","Auckland 0620","16/01/2020","16/01/2022"
"GMB111","Green Man Brewery Limited","nzpr.group@xtra.co.nz","PO Box 5528 Christchurch 8052","9 Grange Street","Dunedin 9016","9/11/2018","9/11/2021"
"GREENMEAD1","Green Meadows Beef Limited","needbeef@greenmeadowsbeef.co.nz","11 Parkvue Drive Bell Block New Plymouth 4312","58 Katere Road, Waiwhakaiho","New Plymouth 4312","25/05/2017","31/10/2021"
"GRE01","Green Monkey Limited (Greenzoo & Green Monkey Products)","jo@greenzoo.co.nz","468 Malaghans Road RD1 Queenstown 9371","468 Malaghans Road, Dalefield","Queenstown","29/08/2016","29/08/2021"
"GNZ1","Green New Zealand Group Limited","cici@amritanutrition.co.nz","59 Druces Road Wiri Auckland 2104","59 Druces Road, Wiri","Auckland 2104","8/03/2018","8/03/2022"
"1579415","Green Paradise International (NZ) Company Limited","wenxiao@xtra.co.nz","42 Berkley Avenue Hillcrest HAMILTON 3216","42 Berkley Avenue, Hillcrest","Hamilton 3216","25/02/2015","18/04/2022"
"GVDEX11","Green Valley Dairies Limited","kay.carden@gvd.co.nz","PO Box 72 623 Papakura 2244","206 Bell Road, Mangatawhiri, RD 1","Pokeno","3/01/2018","3/01/2022"
"GWTL19","Green World Trading Limited","hoang.meridian@gmail.com"," ","173 Carrington Road, Mount Albert","Auckland 1025","10/09/2020","11/09/2021"
"YANGJERRY1","Green Young Limited","jerryyang1203@gmail.com","11 Maui Grove Remuera Auckland 1050","11 Maui Grove","Auckland","14/08/2014","14/08/2021"
"GREENAGE8","Greenage Meats Export Limited","info@greenage.co.nz","PO Box 37040 Parnell Auckland 1151","Suite 3.1, 8A Cleveland Road, Parnell","Auckland 1052","3/06/2016","16/05/2022"
"GREEN1","Greenlea Premier Meats Limited","mike@greenlea.co.nz","P O Box 87 HAMILTON 3240","Greenlea Lane","Hamilton","31/05/2001","1/04/2022"
"GREENLEA1","Greenlea Premier Meats Limited","mike@greenlea.co.nz","P O Box 87 HAMILTON 3240","Greenlea Lane","Hamilton","1/11/1999","1/05/2022"
"GTNHONEY58","Greytown Honey Limited","greytownhoney@gmail.com","58 Moroa Road RD1 Tauherenikau 5771","58 Moroa Road, RD1","Tauherenikau 5771","27/08/2018","27/08/2021"
"GIL1990","Grocers International NZ Limited","ksami@pacificvision.co.nz","PO Box 22129 Otahuhu Auckland 1640","25 Park Avenue, Otahuhu","Auckland","11/01/2019","11/01/2022"
"GGL01","Groundwork Group LLC NZ Limited","Stephen@gwexperts.com"," ","2 Stafford Street","Dunedin 9016","12/05/2021","12/05/2022"
"GSEXPRESS1","GS Express Limited","sean.gsexpress@gmail.com","Unit 1 61 View Road Wairau Valley Auckland 0627","Unit 1, 61 View Road, Wairau Valley","Auckland","16/09/2019","16/09/2021"
"HNI168","H & I International Company Limited","hnikathywu@gmail.com","7 Epsom Avenue Epsom Auckland 1023","7 Epsom Avenue, Epsom","Auckland","16/09/2015","16/09/2021"
"HF07070207","H&F New Zealand Trading Limited","h.f.nztrading@gmail.com","29 Headland Drive, Longbay, 0630","29 Headland Drive, Longbay, 0630","Auckland","30/04/2020","30/04/2021"
"HHRL1","H&H Retailing Limited","austin.j@hhgroup.co.nz"," ","308 Ti Rakau Drive Burswood","Auckland 2013","19/03/2020","19/03/2022"
"HHSCL1","H&H Supply Chain Limited","austin.j@hhgroup.co.nz"," ","308 Ti Rakau Drive Burswood","Auckland 2013","19/03/2020","19/03/2022"
"HAINES2007","Haines Apiaries (2007) Limited","haineshoney@xtra.co.nz","PO Box 284 Kaitaia 0441","162 North Road","Kaitaia","8/11/2007","15/01/2022"
"HCPHARM16","Hamilton Central Pharmacy Limited","shawei_ouyang@hotmail.com","1/131 Pembroke Street Hamilton Lake Hamilton 3204","1/131 Pembroke Street, Hamilton Lake","Hamilton 3204","3/03/2021","3/03/2022"
"HAMZOO1","Hamilton City Council - the Hamilton Zoo","zooinfo@hcc.govt.nz","Private Bag 3010 Hamilton 3240","183 Brymer Road, RD9","Hamilton 3289","26/07/2010","26/07/2021"
"HTE1","Hamish Thomas Exports Limited","hte@xtra.co.nz","5 Te Wharau Lane RD 1 Lyttelton 8971","5 Te Wharau Lane, RD1, Charteris Bay","Christchurch 8971","21/07/2014","1/05/2022"
"HANZLTD1","Hansells Masterton Limited","malcolmm@hmstn.co.nz","P.O Box 694 100 Opaki Road Lansdowne","100 Opaki Road","Masterton 5810","24/07/2015","16/06/2021"
"L15","Hantz Honey Limited","carolyn@hantzhoney.co.nz","31 Lower Lake Road RD 3 Leeston 7683","31 Lower Lake Road","Leeston","1/11/1999","1/05/2022"
"HAOSKY7538","Hao Sky Trade Co. Limited","271785094@qq.com","14 Beech Crescent, Hillcrest, Hamilton","14 Beech Crescent, Hillcrest","Hamilton 3216","8/06/2017","8/06/2022"
"HBK64","Happy Beekeeping Limited","info@hbk.co.nz"," ","414 Kerikeri Road","Kerikeri 0230","6/12/2017","6/12/2021"
"HHLTD1","Happy Honey Limited","foodsmithcollective@gmail.com"," ","Associated Business Advisors Limited 1/178 Hibiscus Coast Highway","Red Beach 0932","10/06/2020","10/06/2021"
"HAPPYNZ1","Happy New Zealand Limited","mizuno@happynewzealand.com","1/91 Diana Drive Glenfield Auckland 0627","1/91 Diana Drive, Glenfield","Auckland","22/06/2018","22/06/2022"
"HS324","Happy Star Limited","Gavin.zhonghao@gmail.com"," ","12 Riplington Road, Huntington Park","Auckland 2013","21/04/2016","24/06/2022"
"FIB08","Harbour Fish Limited","mark.lee@harbourfish.co.nz","PO Box 15 Port Chalmers 9050","21 Stevenson Avenue, Sawyers Bay","Dunedin","10/06/2008","19/07/2022"
"GTH1","Harding Expediting Limited","hardingexpediting@gmail.com","4/358 Tai Tapu Road RD 2 CHRISTCHURCH 7672","4/358 Tai Tapu Road RD 2","Christchurch","26/07/2013","30/07/2021"
"ELN1016","Harrier Exports Limited","angela@harrier.co.nz","PO Box 28131 Havelock North Hastings 4130","Unit 2, 14 Donnelly Street, Havelock North","Hastings","23/05/2000","1/05/2022"
"HALTD1","Hartnell and Associates Limited","john@hartnellnz.com","4/634 Weedons Road RD8, Rolleston CHRISTCHURCH 7678","4/634 Weedons Road RD8, Rolleston","Christchurch 7678","1/11/1999","1/05/2021"
"HAUS168","Haus Trading (NZ) Limited","stanley.hau@hausnz.com","54 William Street Richmond 7020","54 William Street","Richmond","18/08/2020","18/08/2021"
"HBEGGS17","Hawkes Bay Eggs Limited","info@hawkesbayeggs.co.nz","159 Mangaroa Road RD 4 Hastings 4174","159 Mangaroa Road, RD 4","Hastings 4174","10/01/2017","19/03/2022"
"365HEALTH","Health King Co. Limited","healthking@365health.co.nz","Unit 1, 2 Bishop Dunn Place Flat Bush Auckland 2013","Unit 1, 2 Bishop Dunn Place, Flat Bush","Auckland 2013","3/10/2019","3/10/2021"
"HEALTH3","Health Solutions (NZ) Limited","Justin@healthsolutions.nz","PO Box 3866 Shortland Street Auckland New Zealand","Level 5 10-14 Lorne Street","Auckland","1/03/2019","1/03/2022"
"HT2014","Health Tree Limited","baydragon2004@gmail.com","26 Francis Curtis Avenue Blockhouse Bay Auckland 0600","Unit 3, 433 Dominion Road, Mt Eden","Auckland","18/06/2018","18/06/2021"
"GIN88","Healthboost Trading Limited","6200088@gmail.com","1017 Dominion Road Mount Roskill Auckland 1041","1017 Dominion Road, Mount Roskill","Auckland 1041","17/12/2015","17/12/2021"
"HONZ1","Healthy Originz Limited","info@healthyoriginz.com"," ","L26, PWC Tower, 188 Quay Street Auckland Central","Auckland 1010","28/09/2018","28/09/2021"
"HSMNZ88","Healthy Start (NZ) Limited","admin@healthystart.co.nz","16 Seaview Road PARAPARAUMU 5032","16 Seaview Road","Paraparaumu 5032","19/12/2018","9/01/2022"
"HEATH1","Heathstock Apiaries Marketing Limited","office@heathstock.co.nz"," ","675 Broxton Road, RD 1","Hawarden 7385","21/01/2020","2/11/2021"
"HJE1000","Hedley John Exporters Limited","mark@hedleyjohn.com","60 Hussey Road Northwood Christchurch 8051","60 Hussey Road, Northwood","Christchurch 8051","22/06/2017","21/06/2022"
"HWL1","Heinz Wattie's Limited","Steve.Thompson@kraftheinzcompany.com","Heinz Watties Limited PO Box 439 Hastings 4122","Cnr Tomoana Road & Richmond Road","Hastings","1/11/1999","10/06/2022"
"HHNZLTD1","Helena Health New Zealand Limited","andrew@helenahealth.co.nz","15 Munford Lane Riverhead Auckland 0820","15 Munford Lane, Riverhead","Auckland","28/05/2021","28/05/2022"
"HELLERS1","Hellers Limited","ap@hellers.co.nz","PO Box 286 Kaiapoi 7644","67 Main North Road","Kaiapoi 7644","17/03/2015","15/04/2022"
"HELLERS2","Hellers Limited","Abbey.Cossill@hellers.co.nz","PO Box 97725 Manukau City Auckland 2241","10 Ha Crescent, Wiri","Auckland","28/09/2015","28/09/2021"
"MINERVA1","Hellmann Worldwide Logistics Limited NZ Agent for Minerva Foods Asia Pty Limited","Elizabeth.Allen@hellmann.com","PO Box 107043 Auckland Airport Auckland 2150","2 Landing Drive, Mangere","Auckland 2022","4/09/2017","4/09/2021"
"HE22","Henergy Cage-Free Limited","sean@bettereggs.co.nz","318 Settlement Road RD 6 Masterton 5886","318 Settlement Road, Te Ore Ore","Masterton 5886","18/05/2010","1/04/2022"
"HENCUM1","Henry Cumines NZ Limited","helder@henrycumines.com.au"," ","Level 8 / 300 George Street","Sydney","27/11/2019","27/11/2021"
"HENRY6","Henry's Poultry Limited","admin@henryspoultry.co.nz","PO Box 512 Levin 5540","3 Hamaria Road","Levin 5510","12/04/2016","12/04/2022"
"HIT1","Hero International Trading Limited trading as Hero International","minggz@gmail.com","PO Box 84433 Westgate Auckland","8 Kawakawa Place, Westgate","Auckland","30/04/2018","30/04/2022"
"HFLEX731","Heyden Farms Limited","accounts@heydenfarms.co.nz"," ","43 Vospers Road R D 2","Lichfield","12/11/2019","12/11/2021"
"HIWELL1","Hi Well Healthcare Limited","healthnzgs7@gmail.com"," ","6 Te Kea Place Rosedale","Auckland 0632","18/05/2016","18/05/2022"
"HIBI1","Hibiscus Coast Limited","elienzhang@hotmail.com","PO Box 10330 Dominion Road Auckland 1024","380 Dominion Road, Mt Eden","Auckland 1024","7/05/2019","7/05/2021"
"HFS01","Hibiscus Freight Services Limited","rob@donley.co.nz","PO Box 93 Whitford 2149","2 Kimptons Road, Brookby","Auckland 2576","23/04/2019","23/04/2022"
"HPS2016","High Peak Partnership","simon@highpeak.co.nz","High Peak Station RD 2 Darfield 7572","High Peak Station, 546 High Peak Road, Windwhistle","Canterbury","2/06/2020","2/06/2021"
"ELN1029","Highford Marketing Group Limited","cherry@highford.co.nz","PO Box 9169 Tower Junction Christchurch 8149 New Zealand","10A Leslie Hills Drive, Riccarton","Christchurch 8011","1/11/1999","5/09/2021"
"HIHLTD1","Hikutaia Honey Limited","hikuhoney@farmside.co.nz"," ","448 Woodlands Road,","Opotiki 3198","20/11/2020","20/11/2021"
"HHL01","Hilton Haulage Limited Partnership","jacquie@hiltons.co.nz","PO Box 2044 Washdyke Timaru 7941","50 Sheffield Street, Washdyke","Timaru","10/10/2019","23/11/2021"
"HINAHONEY1","Hinakura Honey Company Limited","sales@hinakurahoney.co.nz","146 Glendryneoch Road RD 4 Martinborough 5784","146 Glendryneoch Road, Hinakura","Martinborough","5/04/2019","5/04/2021"
"HINTERLAN1","Hinterland Foods Limited","sarah@hinterlandfoods.co.nz","612 Pukeokahu Road RD 3 Taihape 4793","612 Pukeokahu Road, RD 3","Taihape 4793","2/06/2020","2/06/2021"
"HLSNZ1","HLS New Zealand Limited","michael.sheng@hkhlstrading.com","Unit 13, 180 Montgomerie Road Mangere Auckland 2022","Unit 13, 180 Montgomerie Road, Mangere","Auckland","30/01/2019","30/01/2022"
"S1999","Hoam International Limited","hoamltd@gmail.com"," ","Unit 9, 75 View Rd Glenfield 0627","Auckland","16/01/2020","16/01/2022"
"HHH3","Hokitika Honey & Herb Limited","shea@hokitikahoney.com","8a Paiere Road Hokitika 7883","8a Paiere Road","Hokitika 7883","7/12/2020","7/12/2021"
